,level_0,latitude,longitude,index,time,u10,v10,d2m,t2m,evabs,evaow,lmld,lmlt,lshf,lai_hv,lai_lv,skt,snowc,sde,smlt,stl1,stl2,stl3,slhf,ssr,str,sp,sro,ssrd,strd,tsn,e,tp
2698,26986,28.65,68.6,10118937.0,2022-04-01,-0.36877906,0.47058392,280.13214,305.69034,-1.1966331e-05,-9.293831e-05,2.055811,300.1933,0.74168825,0.0,0.7155846,308.4099,0.0,0.0,-9.313226e-10,308.17548,306.55984,303.58307,-324003.0,18898014.0,-12489034.0,99112.766,5.736947e-07,26573408.0,31633578.0,273.16058,-0.0001295954,7.959455e-05
2699,26987,28.65,68.6,10118938.0,2022-05-01,-0.3612777,0.55941653,281.75003,309.16357,-1.425622e-05,-0.00010857289,2.2380428,302.35,0.74834466,0.0,0.70928913,312.64148,0.0,0.0,-9.313226e-10,312.44107,310.7904,307.41968,-379364.0,20198866.0,-12871616.0,98530.09,0.0,28407732.0,33672920.0,273.1613,-0.0001516887,5.191937e-05
2700,26988,28.65,68.6,10118939.0,2022-06-01,-1.8079437,1.6572697,289.44073,308.67944,-1.23356e-05,-9.1510825e-05,2.37187,303.3503,0.7340504,0.0,0.71268666,313.33496,0.0,0.0,-9.313226e-10,313.24695,311.92316,309.36575,-340707.0,19026816.0,-10588148.0,98410.27,0.0,26634596.0,36415120.0,273.15988,-0.00013626134,7.195957e-05
2701,26989,28.65,68.6,10118940.0,2022-07-01,-0.9853803,0.5874181,298.88052,304.5742,-0.00065947627,-0.002415829,1.991745,304.98575,0.7392952,0.0,0.74451375,305.8455,0.0,0.0,-9.313226e-10,306.37213,306.75238,307.52737,-8332241.0,13567009.0,-3667512.0,98556.35,0.0006684549,18784468.0,39115384.0,273.15988,-0.0033318256,0.008191038
2702,26990,28.65,68.6,10118941.0,2022-08-01,-1.4744605,-0.09717131,298.15424,302.88843,-0.00078637816,-0.0021265214,2.0173702,303.44922,0.72765714,0.0,0.8195597,303.41125,0.0,0.0,-9.313226e-10,303.81714,304.01144,304.64963,-7923716.0,11699593.0,-3163050.0,98645.805,0.0013064984,16110238.0,38271550.0,273.16058,-0.0031684097,0.009597659
2703,26991,28.65,68.6,10118942.0,2022-09-01,-0.48172605,0.8339603,295.3069,303.7238,-0.00077404256,-0.0011055153,1.7917156,303.58182,0.7454431,0.0,0.85993063,304.8152,0.0,0.0,-9.313226e-10,305.0085,304.7979,304.51474,-4724716.0,11265040.0,-3661500.0,99031.516,0.0,15444652.0,18563790.0,273.15988,-0.0018892698,6.1132014e-06
2704,26992,28.55,68.6,10119808.0,2022-02-01,-0.7009765,-0.14738083,279.83975,292.19028,-0.00012379955,-9.1918744e-05,3.0402946,290.1593,0.66682845,0.108556986,0.95061535,293.75504,0.0,0.0,-9.313226e-10,294.29935,294.24857,294.49533,-598422.0,14342625.0,-9347762.0,100335.56,0.0,18859742.0,26860624.0,273.15988,-0.00023911055,4.7149137e-05
2705,26993,28.55,68.6,10119809.0,2022-03-01,-0.4500066,-0.05726099,283.5353,299.65668,-0.00016967044,-0.00022576423,2.094963,296.42734,0.68080264,0.108556986,0.94407004,301.58136,0.0,0.0,-9.313226e-10,301.74277,300.78925,298.74564,-1095715.0,17156992.0,-10134788.0,100009.76,1.7210841e-06,22689062.0,30191990.0,273.15988,-0.00043814303,0.00039546378
2706,26994,28.55,68.6,10119810.0,2022-04-01,-0.38935387,0.47766495,281.46695,305.26166,-1.7137034e-05,-3.454648e-05,2.0501156,299.14755,0.6818018,0.108556986,0.86557657,307.78296,0.0,0.0,-9.313226e-10,307.96466,306.73593,303.77463,-196101.0,19770732.0,-12052071.0,99504.23,0.0,26535990.0,31661874.0,273.16058,-7.8361016e-05,3.474392e-05
2707,26995,28.55,68.6,10119811.0,2022-05-01,-0.3998555,0.6295812,282.7522,308.92786,-2.0460924e-05,-5.0453003e-05,2.2038746,301.33047,0.68156356,0.108556986,0.85368514,311.97208,0.0,0.0,-9.313226e-10,312.23026,310.99933,307.68152,-254325.0,21058744.0,-12385737.0,98916.625,0.0,28313528.0,33705770.0,273.1613,-0.00010178797,3.474392e-05
2708,26996,28.55,68.6,10119812.0,2022-06-01,-1.8113729,1.5854957,289.9511,308.62512,-1.7801765e-05,-3.8013328e-05,2.2209587,302.52057,0.68152094,0.108556986,0.8576823,312.50705,0.0,0.0,-9.313226e-10,312.89038,311.94427,309.529,-237621.0,20042378.0,-10006350.0,98795.17,0.0,26546116.0,36463124.0,273.15988,-9.512156e-05,4.7149137e-05
2709,26997,28.55,68.6,10119813.0,2022-07-01,-1.0310305,0.54654217,298.70697,304.90463,-0.0015959502,-0.001068808,2.0935383,304.35062,0.6810942,0.108556986,0.91069406,306.3677,0.0,0.0,-9.313226e-10,307.23105,307.5224,308.04648,-7888399.5,14609456.0,-3809614.0,98942.07,0.0005990267,18774782.0,39284656.0,273.15988,-0.0031543155,0.0077129398
2710,26998,28.55,68.6,10119814.0,2022-08-01,-1.4718887,-0.12549448,298.08087,303.21655,-0.001968309,-0.0009203475,1.9789314,302.9643,0.6826659,0.10864854,1.0966601,303.76367,0.0,0.0,-9.313226e-10,304.50616,304.69696,305.26392,-8490688.0,12748059.0,-3176167.0,99031.516,0.0012232997,16023518.0,38473664.0,273.16058,-0.0033952494,0.009657778
2711,26999,28.55,68.6,10119815.0,2022-09-01,-0.44979227,0.8313854,295.4567,303.69144,-0.001961661,-0.00047965627,1.7312088,303.15036,0.71134675,0.10864854,1.2064312,304.24484,0.0,0.0,-9.313226e-10,304.94226,304.86484,304.7675,-6134510.0,12325944.0,-3401617.5,99413.95,0.0,15398871.0,18638572.0,273.15988,-0.002453036,1.0885298e-05
2712,27072,27.55,68.6,10128538.0,2022-02-01,-0.64268124,-0.24104118,282.03726,292.13715,-0.00029191864,-0.00010544597,1.9312382,290.8415,0.6502727,0.0,1.1912421,293.79044,0.0,0.0,-9.313226e-10,294.52463,294.48804,294.81042,-1073284.0,15422388.0,-9127231.0,100684.34,0.0,19020416.0,27106194.0,273.15988,-0.00042919116,7.768534e-05
2713,27073,27.55,68.6,10128539.0,2022-03-01,-0.08780444,0.2887349,284.3835,299.75488,-0.0001339193,-0.00011720578,1.8828316,296.01782,0.6501732,0.0,1.1660602,302.36258,0.0,0.0,-9.313226e-10,302.6944,301.7694,299.4597,-725370.0,18534482.0,-10470094.0,100356.08,5.736947e-07,22905202.0,30237466.0,273.15988,-0.00028996402,0.00022750907
2714,27074,27.55,68.6,10128540.0,2022-04-01,0.26646805,0.9997165,284.25333,305.43845,-2.2086082e-05,-1.9591767e-05,1.7732086,299.3502,0.65651315,0.0,0.96015847,308.7991,0.0,0.0,-9.313226e-10,309.1223,307.9004,304.68475,-169852.0,21194768.0,-12206196.0,99853.01,0.0,26410532.0,32060548.0,273.16058,-6.78855e-05,2.7108938e-05
2715,27075,27.55,68.6,10128541.0,2022-05-01,0.16873777,1.633774,286.50146,308.68176,-2.511451e-05,-9.123236e-06,1.937645,301.21072,0.6500416,0.0,0.92738205,312.56506,0.0,0.0,-9.313226e-10,313.06628,311.96777,308.62903,-140263.0,22333916.0,-12308127.0,99267.875,0.0,27974132.0,34113532.0,273.1613,-5.607726e-05,1.3411045e-06
2716,27076,27.55,68.6,10128542.0,2022-06-01,-0.2101816,2.2578542,291.7777,308.22305,-2.179062e-05,-7.9676975e-06,1.983202,302.41525,0.65000606,0.0,0.9475176,312.39243,0.0,0.0,-9.313226e-10,313.06628,312.34457,310.1161,-130718.0,21006582.0,-9890209.0,99138.2,0.0,26316770.0,36491930.0,273.15988,-5.2267686e-05,1.3411045e-06
2717,27077,27.55,68.6,10128543.0,2022-07-01,-0.78113234,0.86196184,298.63153,304.27145,-0.0019505073,-0.0005156838,1.9874725,303.39096,0.6500629,0.0,1.0824704,305.7266,0.0,0.0,-9.313226e-10,306.82147,307.1773,307.97165,-7949964.5,14697731.0,-3628434.0,99277.72,0.00027197227,18493934.0,39116390.0,273.15988,-0.003178885,0.0066565443
